tile_dph,tile_str,tile90_str,pc_build,pc_roads,pc_green
13,S1.asc,S1R.asc,8,16,76
23,S2.asc,S2R.asc,13,19,68
31,S3.asc,S3R.asc,17,22,61
42,S4.asc,S4R.asc,20,30,50
