tile_dph,tile_str,tile90_str,pc_build,pc_roads,pc_green
77,F1.asc,F1R.asc,20,32,48
101,F2.asc,F2R.asc,21,38,41
164,F3.asc,F3R.asc,27,54,19
216,F4.asc,F4R.asc,27,46,27
